,provinsi,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-05,0,0,0,0,3,8,0,-5,4,0,0,4,0,0,0,0,1,0,0,1,85,2,11,72,,,,,0,0,0,0,10,0,0,10,0,0,0,0,35,1,2,32,0,0,0,0,8,0,1,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,8,0,0,8,0,0,0,0,1,0,1,0,0,0,0,0,2,11,2,-11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,164,22,17,125
2020-04-06,0,0,0,0,7,0,0,7,9,1,1,7,0,0,0,0,3,1,0,2,103,7,7,89,,,,,0,0,0,0,15,1,1,13,12,1,4,7,3,10,0,-7,0,0,0,0,2,0,0,2,9,0,0,9,6,0,0,6,7,0,0,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,,,,,0,0,1,-1,0,0,0,0,1,0,0,1,0,0,0,0,29,0,0,29,0,0,0,0,1,0,0,1,2,0,0,2,10,0,0,10,0,0,0,0,1,0,0,1,224,21,14,189
2020-04-07,0,0,0,0,0,0,0,0,6,0,1,5,0,0,0,0,1,0,0,1,111,3,14,94,,,,,0,0,0,0,78,3,0,75,1,0,0,1,5,1,0,4,0,1,0,-1,0,0,2,-2,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,8,0,2,0,-2,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,215,14,19,182
2020-04-08,0,0,0,0,6,0,0,6,19,0,0,19,0,0,0,0,0,3,3,-6,89,5,9,75,,,,,0,0,0,0,23,1,5,17,7,2,2,3,2,1,0,1,0,0,0,0,4,1,0,3,0,0,1,-1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,2,1,2,0,0,2,1,0,0,1,0,0,0,0,,,,,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,2,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,29,207,15,23,169
2020-04-09,0,1,0,-1,14,0,0,14,3,0,2,1,2,0,0,2,2,3,0,-1,229,5,34,190,,,,,0,0,0,0,18,2,6,10,4,3,1,0,27,7,2,18,0,0,0,0,0,2,1,-3,0,0,0,0,0,5,0,-5,0,0,0,0,1,0,0,1,11,0,0,11,0,2,0,-2,0,0,0,0,0,1,0,-1,5,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,6,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,330,33,47,250
2020-04-10,0,0,0,0,12,1,0,11,21,0,1,20,0,0,0,0,0,3,0,-3,50,4,11,35,1,0,0,1,0,0,0,0,10,0,0,10,0,0,0,0,33,11,4,18,0,0,0,0,7,0,0,7,4,1,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,1,1,-2,0,0,0,0,0,1,0,-1,1,0,0,1,33,0,1,32,9,0,0,9,0,0,0,0,5,0,1,4,13,5,3,5,1,0,0,1,0,8,0,-8,218,35,22,161
2020-04-11,0,0,0,0,4,0,0,4,31,1,0,30,0,0,0,0,0,0,0,0,196,7,11,178,0,0,0,0,2,0,0,2,36,0,0,36,0,0,1,-1,11,2,3,6,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,1,0,0,1,-1,0,2,0,-2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,24,2,0,22,0,0,0,0,3,1,0,2,2,1,1,0,11,0,6,5,5,0,0,5,1,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,3,-3,329,17,31,281
2020-04-12,0,0,0,0,2,0,0,2,2,1,0,1,0,0,0,0,0,5,0,-5,123,40,34,49,0,0,0,0,0,0,0,0,31,1,4,26,56,1,0,55,119,0,0,119,3,0,0,3,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,8,0,0,8,0,0,0,0,9,0,0,9,0,0,0,0,1,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,45,0,0,0,0,0,0,0,0,4,0,0,4,13,1,0,12,0,2,0,-2,10,0,0,10,431,53,39,339
2020-04-13,0,2,0,-2,5,1,0,4,3,0,1,2,0,0,0,0,16,0,0,16,141,1,8,132,0,0,0,0,0,0,0,0,71,3,9,59,3,0,1,2,52,4,2,46,0,0,0,0,0,1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,6,0,0,6,0,0,0,0,4,0,0,4,0,0,0,0,0,6,1,-7,0,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,1,0,309,20,24,265
2020-04-14,0,0,0,0,6,1,0,5,5,0,0,5,0,0,0,0,5,4,0,1,125,0,11,114,0,0,0,0,1,0,0,1,3,1,0,2,75,1,1,73,36,7,13,16,0,2,0,-2,3,0,2,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,1,0,0,0,0,0,0,0,0,0,2,0,-2,3,0,1,2,1,0,0,1,5,1,0,4,282,23,33,226
