levelKerawanan,jumlah_penduduk,total,kode_kecamatan,nama_kecamatan,nama_kabupatenKota,nama_provinsi
1,72069,42,352506,Wringinanom,KAB. GRESIK,JAWA TIMUR
1,42899,25,327207,Cibeureum,KOTA SUKABUMI,JAWA BARAT
1,8611,5,621001,Sepang Simin,KAB. GUNUNG MAS,KALIMANTAN TENGAH
1,20707,12,710223,Mandolang,KAB. MINAHASA,SULAWESI UTARA
1,65697,38,331314,Kebakkramat,KAB. KARANGANYAR,JAWA TENGAH
1,66088,38,351501,Tarik,KAB. SIDOARJO,JAWA TIMUR
1,20935,12,331007,Kebonarum,KAB. KLATEN,JAWA TENGAH
1,52724,30,351610,Bangsal,KAB. MOJOKERTO,JAWA TIMUR
1,59332,33,327901,Banjar,KOTA BANJAR,JAWA BARAT
1,21704,12,352401,Sukorame,KAB. LAMONGAN,JAWA TIMUR
1,123199,68,637102,Banjarmasin Timur,KOTA BANJARMASIN,KALIMANTAN SELATAN
1,132424,73,350921,Sumbersari,KAB. JEMBER,JAWA TIMUR
1,82138,45,350710,Gondanglegi,KAB. MALANG,JAWA TIMUR
1,31441,17,140505,Langgam,KAB. PELALAWAN,RIAU
1,61155,33,331014,Juwiring,KAB. KLATEN,JAWA TENGAH
1,39537,21,340211,Dlingo,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA
1,45262,24,737204,Bacukiki Barat,KOTA PARE PARE,SULAWESI SELATAN
1,90963,48,331710,Rembang,KAB. REMBANG,JAWA TENGAH
1,160134,84,327702,Cimahi Tengah,KOTA CIMAHI,JAWA BARAT
1,21009,11,130409,Pariangan,KAB. TANAH DATAR,SUMATERA BARAT
1,68832,36,157103,Jambi Timur,KOTA JAMBI,JAMBI
1,80431,42,350604,Ngadiluwih,KAB. KEDIRI,JAWA TIMUR
1,23002,12,827201,Tidore,KOTA TIDORE KEPULAUAN,MALUKU UTARA
1,53848,28,130107,Koto XI Tarusan,KAB. PESISIR SELATAN,SUMATERA BARAT
1,66209,34,330502,Buayan,KAB. KEBUMEN,JAWA TENGAH
1,53262,27,330704,Kaliwiro,KAB. WONOSOBO,JAWA TENGAH
1,59488,30,137110,Nanggalo,KOTA PADANG,SUMATERA BARAT
1,38009,19,337102,Magelang Utara,KOTA MAGELANG,JAWA TENGAH
1,20058,10,757103,Kota Utara,KOTA GORONTALO,GORONTALO
1,68217,34,331201,Pracimantoro,KAB. WONOGIRI,JAWA TENGAH
1,68767,34,350503,Srengat,KAB. BLITAR,JAWA TIMUR
1,138071,67,320117,Pamijahan,KAB. BOGOR,JAWA BARAT
1,22732,11,710308,Tabukan Utara,KAB. KEPULAUAN SANGIHE,SULAWESI UTARA
1,47683,23,321614,Sukakarya,KAB. BEKASI,JAWA BARAT
1,120439,58,321215,Indramayu,KAB. INDRAMAYU,JAWA BARAT
1,47923,23,330227,Purwokerto Utara,KAB. BANYUMAS,JAWA TENGAH
1,4180,2,620609,Mendawai,KAB. KATINGAN,KALIMANTAN TENGAH
1,29301,14,737309,Bara,KOTA PALOPO,SULAWESI SELATAN
1,44373,21,331009,Manisrenggo,KAB. KLATEN,JAWA TENGAH
1,160900,76,647103,Balikpapan Utara,KOTA BALIKPAPAN,KALIMANTAN TIMUR
1,90049,42,140110,Tapung,KAB. KAMPAR,RIAU
1,73717,34,320213,Parungkuda,KAB. SUKABUMI,JAWA BARAT
1,52287,24,520804,Bayan,KAB. LOMBOK UTARA,NUSA TENGGARA BARAT
1,8748,4,740220,Besulutu,KAB. KONAWE,SULAWESI TENGGARA
1,24079,11,320814,Mandirancan,KAB. KUNINGAN,JAWA BARAT
1,17619,8,710517,Amurang Barat,KAB. MINAHASA SELATAN,SULAWESI UTARA
1,158678,72,332101,Mranggen,KAB. DEMAK,JAWA TENGAH
1,19899,9,137703,Pariaman Selatan,KOTA PARIAMAN,SUMATERA BARAT
1,89892,40,817101,Nusaniwe,KOTA AMBON,MALUKU
1,33815,15,621002,Kurun,KAB. GUNUNG MAS,KALIMANTAN TENGAH
1,47496,21,352011,Maospati,KAB. MAGETAN,JAWA TIMUR
