nama_provinsi,kode_provinsi,kode_kecamatan,nama_kecamatan,kode_kabupatenkota,nama_kabupatenkota,jumlah_penduduk,total,density,level_kerawanan
JAWA BARAT,32,321619,Cikarang Selatan,32.16,KAB. BEKASI,141763,273,0.0019257493139958946,2
SUMATERA UTARA,12,121506,Pagindar,12.15,KAB. PAKPAK BHARAT,1565,3,0.0019169329073482429,2
DAERAH ISTIMEWA YOGYAKARTA,34,347102,Jetis,34.71,KOTA YOGYAKARTA,27132,52,0.0019165560961226596,2
JAWA BARAT,32,321609,Cikarang Utara,32.16,KAB. BEKASI,208092,398,0.0019126155738807835,2
KEPULAUAN RIAU,21,217110,Batam Kota,21.71,KOTA BATAM,177574,339,0.001909063263766092,2
DAERAH ISTIMEWA YOGYAKARTA,34,340212,Banguntapan,34.02,KAB. BANTUL,111955,213,0.0019025501317493636,2
SULAWESI SELATAN,73,737114,Tamalanrea,73.71,KOTA MAKASSAR,103947,196,0.0018855763033084167,2
BALI,51,510401,Sukawati,51.04,KAB. GIANYAR,104089,196,0.0018830039677583607,2
RIAU,14,147103,Sail,14.71,KOTA PEKANBARU,23436,44,0.0018774534903567162,2
JAWA BARAT,32,327103,Bogor Tengah,32.71,KOTA BOGOR,106141,199,0.0018748645669439707,2
JAWA TIMUR,35,357809,Sukolilo,35.78,KOTA SURABAYA,109534,205,0.0018715649935179945,2
JAWA BARAT,32,327510,Jatisampurna,32.75,KOTA BEKASI,106199,198,0.0018644243354457198,2
NUSA TENGGARA BARAT,52,527105,Selaprang,52.71,KOTA MATARAM,71116,132,0.0018561223915855784,2
SUMATERA SELATAN,16,167101,Ilir Barat II,16.71,KOTA PALEMBANG,66421,123,0.0018518239713343672,2
PAPUA BARAT,92,920503,Waigeo Selatan,92.05,KAB. RAJA AMPAT,2162,4,0.0018501387604070306,2
SULAWESI SELATAN,73,737201,Bacukiki,73.72,KOTA PARE PARE,21729,40,0.001840857839753325,2
JAWA TIMUR,35,357808,Gubeng,35.78,KOTA SURABAYA,136336,247,0.0018117005046356062,2
DKI JAKARTA,31,317504,Kramatjati,31.75,KOTA ADM. JAKARTA TIMUR,313288,567,0.0018098363167436992,2
JAWA BARAT,32,321606,Tambun Selatan,32.16,KAB. BEKASI,388044,702,0.0018090731978847759,2
JAWA BARAT,32,327320,Antapani,32.73,KOTA BANDUNG,78564,142,0.0018074436128506695,2
KALIMANTAN TENGAH,62,627104,Sabangau,62.71,KOTA PALANGKARAYA,21108,38,0.0018002653022550692,2
DAERAH ISTIMEWA YOGYAKARTA,34,340413,Sleman,34.04,KAB. SLEMAN,69510,125,0.0017983024025320098,2
JAMBI,15,150202,Bangko,15.02,KAB. MERANGIN,48518,87,0.001793148934416093,2
BALI,51,517101,Denpasar Selatan,51.71,KOTA DENPASAR,177124,317,0.0017897066461913687,2
DAERAH ISTIMEWA YOGYAKARTA,34,347109,Kraton,34.71,KOTA YOGYAKARTA,21831,39,0.0017864504603545418,2
DKI JAKARTA,31,317308,Kembangan,31.73,KOTA ADM. JAKARTA BARAT,297837,532,0.001786211921285804,2
DAERAH ISTIMEWA YOGYAKARTA,34,347104,Danurejan,34.71,KOTA YOGYAKARTA,21335,38,0.001781110850714788,2
RIAU,14,147102,Pekanbaru Kota,14.71,KOTA PEKANBARU,26436,47,0.0017778786503253139,2
KALIMANTAN TENGAH,62,621310,Karusen Janang,62.13,KAB. BARITO TIMUR,5063,9,0.0017776022121271974,2
PAPUA BARAT,92,920707,Naikere,92.07,KAB. TELUK WONDAMA,1128,2,0.0017730496453900709,2
JAWA BARAT,32,327101,Bogor Selatan,32.71,KOTA BOGOR,201529,357,0.0017714572096323607,2
PAPUA,91,910305,Kemtuk,91.03,KAB. JAYAPURA,4536,8,0.001763668430335097,2
JAWA BARAT,32,327606,Beji,32.76,KOTA DEPOK,155546,274,0.0017615367801164929,2
DAERAH ISTIMEWA YOGYAKARTA,34,347111,Pakualaman,34.71,KOTA YOGYAKARTA,10810,19,0.001757631822386679,2
JAWA TENGAH,33,331810,Pati,33.18,KAB. PATI,111611,196,0.0017560993092078738,2
DKI JAKARTA,31,317405,Kebayoran Lama,31.74,KOTA ADM. JAKARTA SELATAN,327585,571,0.0017430590533754598,2
BANTEN,36,367109,Cibodas,36.71,KOTA TANGERANG,149192,259,0.0017360180170518527,2
DAERAH ISTIMEWA YOGYAKARTA,34,347110,Gondomanan,34.71,KOTA YOGYAKARTA,14982,26,0.001735415832332132,2
DAERAH ISTIMEWA YOGYAKARTA,34,340401,Gamping,34.04,KAB. SLEMAN,93549,162,0.0017317127922265338,2
JAWA BARAT,32,327324,Arcamanik,32.73,KOTA BANDUNG,76239,132,0.0017313973163341596,2
JAWA BARAT,32,327602,Cimanggis,32.76,KOTA DEPOK,234134,405,0.001729778673750929,2
JAWA BARAT,32,327102,Bogor Timur,32.71,KOTA BOGOR,103531,179,0.0017289507490510089,2
SUMATERA SELATAN,16,167110,Kalidoni,16.71,KOTA PALEMBANG,117744,203,0.0017240793586085065,2
DKI JAKARTA,31,317505,Pasar Rebo,31.75,KOTA ADM. JAKARTA TIMUR,231009,398,0.0017228765978814678,2
DKI JAKARTA,31,317509,Ciracas,31.75,KOTA ADM. JAKARTA TIMUR,308956,532,0.0017219280415334223,2
JAWA BARAT,32,327104,Bogor Barat,32.71,KOTA BOGOR,238809,411,0.0017210406642965718,2
