levelKerawanan,jumlah_penduduk,total,density,kode_kecamatan,nama_kecamatan,nama_kabupatenKota,nama_provinsi
2,12077,20,0.001656,750409,Buntulia,KAB. PAHUWATO,GORONTALO
2,32043,53,0.001654,347112,Mergangsan,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
2,93250,154,0.001651,617101,Pontianak Selatan,KOTA PONTIANAK,KALIMANTAN BARAT
2,328407,540,0.001644,317404,Pasar Minggu,KOTA ADM. JAKARTA SELATAN,DKI JAKARTA
2,102998,169,0.001641,357827,Sukomanunggal,KOTA SURABAYA,JAWA TIMUR
2,69735,114,0.001635,527103,Cakranegara,KOTA MATARAM,NUSA TENGGARA BARAT
2,248015,404,0.001629,327605,Sukmajaya,KOTA DEPOK,JAWA BARAT
2,211436,344,0.001627,327504,Bekasi Selatan,KOTA BEKASI,JAWA BARAT
2,12913,21,0.001626,627102,Bukit Batu,KOTA PALANGKARAYA,KALIMANTAN TENGAH
2,157676,256,0.001624,327506,Medansatria,KOTA BEKASI,JAWA BARAT
2,49281,80,0.001623,730901,Mandai,KAB. MAROS,SULAWESI SELATAN
2,22800,37,0.001623,731702,Larompong,KAB. LUWU,SULAWESI SELATAN
2,37061,60,0.001619,327319,Sumur Bandung,KOTA BANDUNG,JAWA BARAT
2,85678,138,0.001611,357826,Mulyorejo,KOTA SURABAYA,JAWA TIMUR
2,38630,62,0.001605,127117,Medan Baru,KOTA MEDAN,SUMATERA UTARA
2,3119,5,0.001603,740605,Kabaena,KAB. BOMBANA,SULAWESI TENGGARA
2,58071,93,0.001601,357824,Tenggilis Mejoyo,KOTA SURABAYA,JAWA TIMUR
2,1878,3,0.001597,920507,Waigeo Barat,KAB. RAJA AMPAT,PAPUA BARAT
2,8770,14,0.001596,827101,Pulau Ternate,KOTA TERNATE,MALUKU UTARA
2,61302,97,0.001582,321620,Cikarang Pusat,KAB. BEKASI,JAWA BARAT
2,184216,291,0.001580,367107,Karawaci,KOTA TANGERANG,BANTEN
2,150806,237,0.001572,140309,Mandau,KAB. BENGKALIS,RIAU
2,12124,19,0.001567,310102,Kepulauan Seribu Selatan.,KAB. ADM. KEP. SERIBU,DKI JAKARTA
2,93819,147,0.001567,127107,Medan Tuntungan,KOTA MEDAN,SUMATERA UTARA
2,84798,132,0.001557,320121,Nanggung,KAB. BOGOR,JAWA BARAT
2,220588,343,0.001555,327505,Rawalumbu,KOTA BEKASI,JAWA BARAT
2,50461,78,0.001546,147207,Dumai Selatan,KOTA DUMAI,RIAU
2,195133,301,0.001543,327511,Mustikajaya,KOTA BEKASI,JAWA BARAT
2,143934,222,0.001542,367113,Larangan,KOTA TANGERANG,BANTEN
2,62437,96,0.001538,340411,Ngemplak,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
2,99559,153,0.001537,357805,Tegalsari,KOTA SURABAYA,JAWA TIMUR
2,85330,130,0.001523,327609,Cinere,KOTA DEPOK,JAWA BARAT
2,269846,411,0.001523,327502,Bekasi Barat,KOTA BEKASI,JAWA BARAT
2,19052,29,0.001522,731707,Belopa,KAB. LUWU,SULAWESI SELATAN
2,210478,319,0.001516,327106,Tanah Sareal,KOTA BOGOR,JAWA BARAT
2,59591,90,0.001510,157102,Jambi Selatan,KOTA JAMBI,JAMBI
2,157769,238,0.001509,357804,Wonokromo,KOTA SURABAYA,JAWA TIMUR
2,430085,648,0.001507,317204,Cilincing,KOTA ADM. JAKARTA UTARA,DKI JAKARTA
2,56754,84,0.001480,527104,Sekarbela,KOTA MATARAM,NUSA TENGGARA BARAT
2,11510,17,0.001477,180805,Bahuga,KAB. WAY KANAN,LAMPUNG
2,90053,133,0.001477,367103,Batuceper,KOTA TANGERANG,BANTEN
2,1359,2,0.001472,650307,Krayan Selatan,KAB. NUNUKAN,KALIMANTAN UTARA
2,174282,256,0.001469,317408,Pancoran,KOTA ADM. JAKARTA SELATAN,DKI JAKARTA
2,75823,111,0.001464,357812,Pabean Cantian,KOTA SURABAYA,JAWA TIMUR
2,43138,63,0.001460,357822,Gayungan,KOTA SURABAYA,JAWA TIMUR
2,33200,48,0.001446,340305,Paliyan,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA
2,4175,6,0.001437,741111,Ueesi,KAB. KOLAKA TIMUR,SULAWESI TENGGARA
2,558831,803,0.001437,317506,Cakung,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA
2,209021,300,0.001435,321602,Babelan,KAB. BEKASI,JAWA BARAT
2,51618,74,0.001434,357823,Jambangan,KOTA SURABAYA,JAWA TIMUR
2,41880,60,0.001433,340205,Bambanglipuro,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA
2,3491,5,0.001432,710309,Nusa Tabukan,KAB. KEPULAUAN SANGIHE,SULAWESI UTARA
2,155977,223,0.001430,321605,Tambun Utara,KAB. BEKASI,JAWA BARAT
2,30091,43,0.001429,190204,Sijuk,KAB. BELITUNG,KEPULAUAN BANGKA BELITUNG
2,31517,45,0.001428,167401,Prabumulih Barat,KOTA PRABUMULIH,SUMATERA SELATAN
2,37164,53,0.001426,347101,Tegalrejo,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
2,112903,161,0.001426,327314,Cibeunying Kidul,KOTA BANDUNG,JAWA BARAT
2,140419,200,0.001424,337411,Banyumanik,KOTA SEMARANG,JAWA TENGAH
2,82150,117,0.001424,352516,Gresik,KAB. GRESIK,JAWA TIMUR
2,11944,17,0.001423,130908,Sipora Utara,KAB. KEPULAUAN MENTAWAI,SUMATERA BARAT
2,223528,318,0.001423,320113,Bojong Gede,KAB. BOGOR,JAWA BARAT
2,3527,5,0.001418,910310,Demta,KAB. JAYAPURA,PAPUA
2,52333,74,0.001414,340214,Piyungan,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA
2,64365,91,0.001414,340208,Bantul,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA
2,38206,54,0.001413,352014,Karas,KAB. MAGETAN,JAWA TIMUR
2,146463,207,0.001413,737109,Panakkukang,KOTA MAKASSAR,SULAWESI SELATAN
2,6380,9,0.001411,640308,Biduk-Biduk,KAB. BERAU,KALIMANTAN TIMUR
2,293560,412,0.001403,367406,Pamulang,KOTA TANGERANG SELATAN,BANTEN
2,82267,115,0.001398,340410,Kalasan,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
2,165695,231,0.001394,357305,Lowokwaru,KOTA MALANG,JAWA TIMUR
2,10786,15,0.001391,610607,Jongkong,KAB. KAPUAS HULU,KALIMANTAN BARAT
2,103527,143,0.001381,340216,Kasihan,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA
2,115162,159,0.001381,367110,Neglasari,KOTA TANGERANG,BANTEN
2,108405,149,0.001374,367112,Karang Tengah,KOTA TANGERANG,BANTEN
2,69887,96,0.001374,347113,Umbulharjo,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
2,315254,431,0.001367,317201,Penjaringan,KOTA ADM. JAKARTA UTARA,DKI JAKARTA
2,72433,99,0.001367,337403,Semarang Timur,KOTA SEMARANG,JAWA TENGAH
2,18550,25,0.001348,347106,Ngampilan,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
2,58090,78,0.001343,357825,Gunung Anyar,KOTA SURABAYA,JAWA TIMUR
2,31309,42,0.001341,340417,Cangkringan,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
2,94046,126,0.001340,147107,Bukit Raya,KOTA PEKANBARU,RIAU
2,79385,106,0.001335,337408,Candisari,KOTA SEMARANG,JAWA TENGAH
2,9747,13,0.001334,750406,Patilanggio,KAB. PAHUWATO,GORONTALO
2,180500,240,0.001330,337410,Tembalang,KOTA SEMARANG,JAWA TENGAH
2,108372,144,0.001329,127121,Medan Selayang,KOTA MEDAN,SUMATERA UTARA
2,174442,231,0.001324,320104,Sukaraja,KAB. BOGOR,JAWA BARAT
2,22660,30,0.001324,620304,Kapuas Kuala,KAB. KAPUAS,KALIMANTAN TENGAH
2,132811,175,0.001318,327315,Bandung Kulon,KOTA BANDUNG,JAWA BARAT
2,36562,48,0.001313,167302,Lubuk Linggau Barat I,KOTA LUBUK LINGGAU,SUMATERA SELATAN
2,81050,106,0.001308,167109,Kemuning,KOTA PALEMBANG,SUMATERA SELATAN
2,18598,24,0.001290,917104,Muara Tami,KOTA JAYAPURA,PAPUA
2,71337,92,0.001290,357820,Wiyung,KOTA SURABAYA,JAWA TIMUR
2,10092,13,0.001288,750401,Popayato,KAB. PAHUWATO,GORONTALO
2,91700,118,0.001287,167114,Plaju,KOTA PALEMBANG,SUMATERA SELATAN
2,34244,44,0.001285,737202,Ujung,KOTA PARE PARE,SULAWESI SELATAN
2,113836,146,0.001283,352510,Manyar,KAB. GRESIK,JAWA TIMUR
2,31972,41,0.001282,340202,Sanden,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA
2,69949,89,0.001272,340402,Godean,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
2,1573,2,0.001271,650204,Kayan Hilir,KAB. MALINAU,KALIMANTAN UTARA
2,63888,81,0.001268,331815,Wedarijaksa,KAB. PATI,JAWA TENGAH
2,6332,8,0.001263,621304,Awang,KAB. BARITO TIMUR,KALIMANTAN TENGAH
2,99240,125,0.001260,332902,Bantarkawung,KAB. BREBES,JAWA TENGAH
2,127085,160,0.001259,367402,Serpong Utara,KOTA TANGERANG SELATAN,BANTEN
2,153026,191,0.001248,737113,Rappocini,KOTA MAKASSAR,SULAWESI SELATAN
2,152411,190,0.001247,360317,Curug,KAB. TANGERANG,BANTEN
2,79065,98,0.001239,357802,Wonocolo,KOTA SURABAYA,JAWA TIMUR
2,96008,119,0.001239,327306,Cicendo,KOTA BANDUNG,JAWA BARAT
2,43647,54,0.001237,357401,Kademangan,KOTA PROBOLINGGO,JAWA TIMUR
2,19468,24,0.001233,731001,Liukang Tangaya,KAB. PANGKAJENE KEPULAUAN,SULAWESI SELATAN
2,101562,125,0.001231,320124,Ciawi,KAB. BOGOR,JAWA BARAT
2,9804,12,0.001224,910302,Sentani Timur,KAB. JAYAPURA,PAPUA
2,225680,276,0.001223,327509,Jatiasih,KOTA BEKASI,JAWA BARAT
2,71295,87,0.001220,327313,Lengkong,KOTA BANDUNG,JAWA BARAT
2,31218,38,0.001217,340201,Srandakan,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA
2,50965,62,0.001217,340405,Seyegan,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
2,60070,73,0.001215,737102,Mamajang,KOTA MAKASSAR,SULAWESI SELATAN
2,15651,19,0.001214,911102,Arso,KAB. KEEROM,PAPUA
2,188015,228,0.001213,737110,Tamalate,KOTA MAKASSAR,SULAWESI SELATAN
2,47885,58,0.001211,331211,Selogiri,KAB. WONOGIRI,JAWA TENGAH
2,93514,113,0.001208,357811,Simokerto,KOTA SURABAYA,JAWA TIMUR
2,73716,89,0.001207,337404,Gayamsari,KOTA SEMARANG,JAWA TENGAH
2,99675,120,0.001204,357813,Bubutan,KOTA SURABAYA,JAWA TIMUR
2,100238,120,0.001197,321601,Tarumajaya,KAB. BEKASI,JAWA BARAT
2,66873,80,0.001196,331312,Colomadu,KAB. KARANGANYAR,JAWA TENGAH
2,321264,384,0.001195,320101,Cibinong,KAB. BOGOR,JAWA BARAT
2,38502,46,0.001195,167111,Bukit Kecil,KOTA PALEMBANG,SUMATERA SELATAN
2,50318,60,0.001192,157101,Telanaipura,KOTA JAMBI,JAMBI
2,59638,71,0.001191,357818,Lakarsantri,KOTA SURABAYA,JAWA TIMUR
2,78395,93,0.001186,510809,Tejakula,KAB. BULELENG,BALI
2,28917,34,0.001176,327309,Bandung Wetan,KOTA BANDUNG,JAWA BARAT
2,17894,21,0.001174,731714,Belopa Utara,KAB. LUWU,SULAWESI SELATAN
2,37588,44,0.001171,340416,Pakem,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
2,76942,90,0.001170,327301,Sukasari,KOTA BANDUNG,JAWA BARAT
2,94209,110,0.001168,320112,Kemang,KAB. BOGOR,JAWA BARAT
2,232418,271,0.001166,327601,Pancoran Mas,KOTA DEPOK,JAWA BARAT
2,61763,72,0.001166,357902,Bumiaji,KOTA BATU,JAWA TIMUR
2,192424,224,0.001164,337406,Pedurungan,KOTA SEMARANG,JAWA TENGAH
2,80848,94,0.001163,137102,Padang Timur,KOTA PADANG,SUMATERA BARAT
2,45687,53,0.001160,331026,Klaten Selatan,KAB. KLATEN,JAWA TENGAH
2,63430,73,0.001151,350722,Dau,KAB. MALANG,JAWA TIMUR
2,6954,8,0.001150,621303,Patangkep Tutui,KAB. BARITO TIMUR,KALIMANTAN TENGAH
2,157348,181,0.001150,337413,Semarang Barat,KOTA SEMARANG,JAWA TENGAH
2,54789,63,0.001150,340408,Berbah,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
2,138488,159,0.001148,167104,Ilir Barat I,KOTA PALEMBANG,SUMATERA SELATAN
2,38376,44,0.001147,747101,Mandonga,KOTA KENDARI,SULAWESI TENGGARA
2,275086,315,0.001145,317304,Tambora,KOTA ADM. JAKARTA BARAT,DKI JAKARTA
2,77938,89,0.001142,167402,Prabumulih Timur,KOTA PRABUMULIH,SUMATERA SELATAN
2,53459,61,0.001141,731407,Maritengngae,KAB. SIDENRENG RAPPANG,SULAWESI SELATAN
2,30863,35,0.001134,340203,Kretek,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA
2,104108,118,0.001133,320137,Tajurhalang,KAB. BOGOR,JAWA BARAT
2,130672,148,0.001133,147109,Marpoyan Damai,KOTA PEKANBARU,RIAU
2,122833,139,0.001132,352513,Menganti,KAB. GRESIK,JAWA TIMUR
2,101022,114,0.001128,327322,Buahbatu,KOTA BANDUNG,JAWA BARAT
2,58649,66,0.001125,357807,Genteng,KOTA SURABAYA,JAWA TIMUR
2,6223,7,0.001125,650301,Sebatik,KAB. NUNUKAN,KALIMANTAN UTARA
