nama_provinsi,kode_provinsi,nama_kabupatenkota,kode_kabupatenkota,nama_kecamatan,kode_kecamatan,jumlah_penduduk,total,density,level_kerawanan
JAWA TIMUR,35,KOTA BATU,35.79,Junrejo,357903,53284,56,0.0010509721492380452,2
JAWA BARAT,32,KOTA BANDUNG,32.73,Batununggal,327312,120900,127,0.0010504549214226634,2
JAWA BARAT,32,KAB. BOGOR,32.01,Gunung Putri,320102,258984,272,0.001050257930991876,2
DKI JAKARTA,31,KOTA ADM. JAKARTA BARAT,31.73,Cengkareng,317301,564826,593,0.0010498808482612345,2
JAWA BARAT,32,KAB. BOGOR,32.01,Megamendung,320126,97528,102,0.001045853498482487,2
DAERAH ISTIMEWA YOGYAKARTA,34,KAB. SLEMAN,34.04,Minggir,340404,32585,34,0.0010434248887524935,2
JAWA BARAT,32,KOTA BANDUNG,32.73,Mandalajati,327330,70958,74,0.0010428704303954452,2
PAPUA,91,KAB. KEPULAUAN YAPEN,91.05,Windesi,910512,2890,3,0.0010380622837370243,2
RIAU,14,KOTA PEKANBARU,14.71,Sukajadi,147101,47320,49,0.0010355029585798817,2
JAWA BARAT,32,KAB. BOGOR,32.01,Ciomas,320129,145854,151,0.0010352818571996655,2
SULAWESI SELATAN,73,KOTA MAKASSAR,73.71,Wajo,737105,31876,33,0.0010352616388505458,2
GORONTALO,75,KAB. BONE BOLANGO,75.03,Tapa,750301,7742,8,0.0010333247222939809,2
KEPULAUAN RIAU,21,KOTA BATAM,21.71,Belakang Padang,217101,20372,21,0.0010308266247791085,2
DAERAH ISTIMEWA YOGYAKARTA,34,KAB. BANTUL,34.02,Pundong,340204,35908,37,0.0010304110504622925,2
JAWA TENGAH,33,KOTA SEMARANG,33.74,Semarang Utara,337402,130434,134,0.0010273394973703176,2
JAWA TENGAH,33,KOTA SURAKARTA,33.72,Laweyan,337201,102524,105,0.0010241504428231438,2
JAWA TENGAH,33,KAB. WONOGIRI,33.12,Ngadirojo,331213,62586,64,0.0010225929121528777,2
JAWA TIMUR,35,KAB. SIDOARJO,35.15,Waru,351518,191745,196,0.0010221909306631202,2
BALI,51,KAB. GIANYAR,51.04,Gianyar,510403,100462,102,0.0010153092711672074,2
PAPUA,91,KAB. PANIAI,91.08,Paniai Timur,910801,22656,23,0.001015183615819209,2
JAWA TIMUR,35,KOTA SURABAYA,35.78,Tambaksari,357810,224716,228,0.001014614001673223,2
JAWA BARAT,32,KOTA DEPOK,32.76,Cilodong,327608,150309,152,0.0010112501580078373,2
DKI JAKARTA,31,KOTA ADM. JAKARTA BARAT,31.73,Kalideres,317306,438777,443,0.0010096244789494437,2
DAERAH ISTIMEWA YOGYAKARTA,34,KAB. BANTUL,34.02,Jetis,340209,58549,59,0.0010077029496660917,2
ACEH,11,KAB. SIMEULUE,11.09,Alapan,110908,4968,5,0.001006441223832528,2
LAMPUNG,18,KAB. LAMPUNG UTARA,18.03,Abung Barat,180306,19936,20,0.0010032102728731941,2
KALIMANTAN TIMUR,64,KOTA BONTANG,64.74,Bontang Barat,647403,29929,30,0.0010023722810651877,2
JAWA BARAT,32,KOTA BANDUNG,32.73,Ujungberung,327326,86225,86,0.0009973905479849232,2
SUMATERA SELATAN,16,KAB. LAHAT,16.04,Pajar Bulan,160412,13054,13,0.0009958633369082273,2
JAWA TIMUR,35,KOTA SURABAYA,35.78,Bulak,357829,44233,44,0.0009947324395813081,2
BALI,51,KOTA DENPASAR,51.71,Denpasar Timur,517102,118983,118,0.0009917383155576846,2
BANTEN,36,KOTA TANGERANG,36.71,Jatiuwung,367102,104419,103,0.0009864105191583908,2
ACEH,11,KOTA BANDA ACEH,11.71,Baiturrahman,117101,32548,32,0.0009831633280078652,2
BANTEN,36,KOTA CILEGON,36.72,Cilegon,367202,45780,45,0.000982961992136304,2
JAWA TENGAH,33,KAB. KARANGANYAR,33.13,Jatipuro,331301,35633,35,0.0009822355681531165,2
SUMATERA BARAT,13,KAB. TANAH DATAR,13.04,Lima Kaum,130404,38710,38,0.0009816584861792818,2
SULAWESI SELATAN,73,KOTA MAKASSAR,73.71,Manggala,737112,151989,149,0.0009803341031258842,2
KEPULAUAN BANGKA BELITUNG,19,KOTA PANGKAL PINANG,19.71,Pangkal Balam,197103,22567,22,0.0009748748172109718,2
RIAU,14,KOTA PEKANBARU,14.71,Lima Puluh,147104,43193,42,0.0009723797837612576,2
JAWA BARAT,32,KOTA BANDUNG,32.73,Astana Anyar,327310,74078,72,0.0009719484867302033,2
SUMATERA SELATAN,16,KOTA PALEMBANG,16.71,Sako,167108,104004,101,0.0009711164955194031,2
SUMATERA SELATAN,16,KOTA PALEMBANG,16.71,Ilir Timur I,167105,67144,65,0.0009680686286190873,2
JAWA TIMUR,35,KAB. SIDOARJO,35.15,Taman,351513,197538,191,0.0009669025706446354,2
BALI,51,KAB. KLUNGKUNG,51.05,Klungkung,510503,64729,62,0.0009578396082127021,2
JAWA TENGAH,33,KAB. KUDUS,33.19,Kota Kudus,331902,92931,89,0.0009576997987754356,2
BANTEN,36,KAB. TANGERANG,36.03,Pasar Kemis,360312,233810,223,0.0009537658782772337,2
SULAWESI TENGGARA,74,KOTA KENDARI,74.71,Poasia,747104,37817,36,0.0009519528254488722,2
JAWA TIMUR,35,KAB. MAGETAN,35.20,Ngariboyo,352016,40230,38,0.0009445687298036291,2
JAWA TIMUR,35,KAB. LAMONGAN,35.24,Lamongan,352422,70142,66,0.0009409483618944427,2
PAPUA,91,KAB. BIAK NUMFOR,91.06,Numfor Barat,910604,2131,2,0.0009385265133740028,2
KALIMANTAN TIMUR,64,KAB. KUTAI KARTANEGARA,64.02,Samboja,640213,62932,59,0.0009375198627089556,2
JAWA BARAT,32,KAB. BEKASI,32.16,Sukatani,321615,81153,76,0.0009365026554779244,2
BALI,51,KAB. BANGLI,51.06,Susut,510601,50194,47,0.0009363668964418058,2
DAERAH ISTIMEWA YOGYAKARTA,34,KAB. GUNUNGKIDUL,34.03,Ponjong,340310,56611,53,0.0009362138100369186,2
KALIMANTAN SELATAN,63,KAB. BARITO KUALA,63.04,Wanaraya,630416,14958,14,0.0009359540045460623,2
BALI,51,KAB. BADUNG,51.03,Mengwi,510302,124365,116,0.0009327383106179392,2
SULAWESI SELATAN,73,KOTA PARE PARE,73.72,Soreang,737203,47399,44,0.0009282896263634254,2
JAWA BARAT,32,KAB. KARAWANG,32.15,Telukjambe Timur,321503,133176,123,0.0009235898360064876,2
JAWA TENGAH,33,KAB. WONOSOBO,33.07,Wonosobo,330709,92113,85,0.0009227796293682759,2
JAWA BARAT,32,KOTA BANDUNG,32.73,Gedebage,327327,40121,37,0.0009222103138007528,2
BANTEN,36,KOTA TANGERANG SELATAN,36.74,Setu,367407,79432,73,0.0009190250780541847,2
JAWA TENGAH,33,KAB. KLATEN,33.10,Kalikotes,331023,38116,35,0.0009182495539930737,2
JAWA TIMUR,35,KAB. TULUNGAGUNG,35.04,Bandung,350417,49147,45,0.0009156204854823285,2
JAWA TENGAH,33,KAB. KEBUMEN,33.05,Gombong,330519,51337,47,0.0009155190213686036,2
JAWA BARAT,32,KAB. BOGOR,32.01,Caringin,320127,116024,106,0.0009136040819140868,2
JAWA BARAT,32,KAB. BOGOR,32.01,Cisarua,320125,115075,105,0.0009124484032152943,2
SUMATERA UTARA,12,KAB. TAPANULI UTARA,12.02,Tarutung,120201,42882,39,0.000909472505946551,2
JAWA TIMUR,35,KAB. PONOROGO,35.02,Ponorogo,350217,78153,71,0.0009084744027740458,2
KALIMANTAN TENGAH,62,KAB. MURUNG RAYA,62.12,Tanah Siang Selatan,621207,5537,5,0.0009030160736861117,2
JAWA TIMUR,35,KAB. MALANG,35.07,Lawang,350725,106483,96,0.0009015523604706854,2
KALIMANTAN TIMUR,64,KAB. KUTAI TIMUR,64.08,Sangatta Selatan,640812,31098,28,0.0009003794456235128,2
SUMATERA UTARA,12,KOTA MEDAN,12.71,Medan Petisah,127119,76771,69,0.0008987768818955075,2
DAERAH ISTIMEWA YOGYAKARTA,34,KAB. BANTUL,34.02,Imogiri,340210,63542,57,0.0008970444745207894,2
JAWA BARAT,32,KAB. BEKASI,32.16,Karang Bahagia,321610,107258,96,0.0008950381323537638,2
KALIMANTAN TIMUR,64,KOTA BALIKPAPAN,64.71,Balikpapan Kota,647106,85078,76,0.000893297914854604,2
JAWA BARAT,32,KOTA BANDUNG,32.73,Cibiru,327325,72791,65,0.0008929675371955325,2
SUMATERA UTARA,12,KAB. TOBA SAMOSIR,12.12,Pintu Pohan Meranti,121205,7848,7,0.000891946992864424,2
JAWA TIMUR,35,KAB. BLITAR,35.05,Bakung,350505,28035,25,0.0008917424647761727,2
KALIMANTAN SELATAN,63,KAB. TANAH BUMBU,63.10,Kusan Hulu,631005,20192,18,0.0008914421553090333,2
